item,sample,metadata_extract,linecut_qr
C67S3M3_GD2-69-2_th0.110_4804.4s_T200.003C_5.00s_61522_saxs,C67S3M3_GD2-69-2,"{""data"":{""annealing_time"":4804.4,""theta"":0.11,""sequence_ID"":61522.0,""annealing_temperature"":200.003},""time"":1.5084270481983979e+09}",
C67S3M3_GD2-69-2_th0.110_4861.4s_T200.004C_5.00s_61527_saxs,C67S3M3_GD2-69-2,"{""data"":{""annealing_time"":4861.4,""theta"":0.11,""sequence_ID"":61527.0,""annealing_temperature"":200.004},""time"":1.508427048203362e+09}",
C67S3M3_GD2-69-2_th0.110_4920.3s_T200.003C_5.00s_61532_saxs,C67S3M3_GD2-69-2,"{""data"":{""annealing_time"":4920.3,""theta"":0.11,""sequence_ID"":61532.0,""annealing_temperature"":200.003},""time"":1.5084270482084284e+09}",
C67S3M3_GD2-69-2_th0.110_4978.4s_T200.002C_5.00s_61537_saxs,C67S3M3_GD2-69-2,"{""data"":{""annealing_time"":4978.4,""theta"":0.11,""sequence_ID"":61537.0,""annealing_temperature"":200.002},""time"":1.5084270482132711e+09}",
C67S3M3_GD2-69-2_th0.110_5033.4s_T200.002C_5.00s_61542_saxs,C67S3M3_GD2-69-2,"{""data"":{""annealing_time"":5033.4,""theta"":0.11,""sequence_ID"":61542.0,""annealing_temperature"":200.002},""time"":1.5084270482179902e+09}",
C67S3M3_GD2-69-2_th0.110_5088.4s_T200.003C_5.00s_61547_saxs,C67S3M3_GD2-69-2,"{""data"":{""annealing_time"":5088.4,""theta"":0.11,""sequence_ID"":61547.0,""annealing_temperature"":200.003},""time"":1.508427048222792e+09}",
C67S3M3_GD2-69-3_th0.110_1074.0s_T150.325C_5.00s_61145_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":1074.0,""theta"":0.11,""sequence_ID"":61145.0,""annealing_temperature"":150.325},""time"":1.5084270482274487e+09}",
C67S3M3_GD2-69-3_th0.110_1131.1s_T181.319C_5.00s_61150_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":1131.1,""theta"":0.11,""sequence_ID"":61150.0,""annealing_temperature"":181.319},""time"":1.5084270482321897e+09}",
C67S3M3_GD2-69-3_th0.110_1192.1s_T203.364C_5.00s_61155_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":1192.1,""theta"":0.11,""sequence_ID"":61155.0,""annealing_temperature"":203.364},""time"":1.5084270482369366e+09}",
C67S3M3_GD2-69-3_th0.110_1252.1s_T200.908C_5.00s_61160_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":1252.1,""theta"":0.11,""sequence_ID"":61160.0,""annealing_temperature"":200.908},""time"":1.508427048241526e+09}",
C67S3M3_GD2-69-3_th0.110_145.0s_T140.996C_5.00s_61125_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":145.0,""theta"":0.11,""sequence_ID"":61125.0,""annealing_temperature"":140.996},""time"":1.508427048246272e+09}",
C67S3M3_GD2-69-3_th0.110_1468.1s_T199.999C_5.00s_61250_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":1468.1,""theta"":0.11,""sequence_ID"":61250.0,""annealing_temperature"":199.999},""time"":1.508427048251317e+09}",
C67S3M3_GD2-69-3_th0.110_1529.1s_T199.999C_5.00s_61255_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":1529.1,""theta"":0.11,""sequence_ID"":61255.0,""annealing_temperature"":199.999},""time"":1.5084270482564514e+09}",
C67S3M3_GD2-69-3_th0.110_1590.1s_T200.000C_5.00s_61260_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":1590.1,""theta"":0.11,""sequence_ID"":61260.0,""annealing_temperature"":200.0},""time"":1.5084270482611716e+09}",
C67S3M3_GD2-69-3_th0.110_1647.1s_T200.000C_5.00s_61265_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":1647.1,""theta"":0.11,""sequence_ID"":61265.0,""annealing_temperature"":200.0},""time"":1.508427048265846e+09}",
C67S3M3_GD2-69-3_th0.110_1708.1s_T199.999C_5.00s_61270_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":1708.1,""theta"":0.11,""sequence_ID"":61270.0,""annealing_temperature"":199.999},""time"":1.5084270482706873e+09}",
C67S3M3_GD2-69-3_th0.110_1765.1s_T199.999C_5.00s_61275_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":1765.1,""theta"":0.11,""sequence_ID"":61275.0,""annealing_temperature"":199.999},""time"":1.5084270482753675e+09}",
C67S3M3_GD2-69-3_th0.110_1831.2s_T200.001C_5.00s_61280_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":1831.2,""theta"":0.11,""sequence_ID"":61280.0,""annealing_temperature"":200.001},""time"":1.5084270482800143e+09}",
C67S3M3_GD2-69-3_th0.110_1892.1s_T200.000C_5.00s_61285_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":1892.1,""theta"":0.11,""sequence_ID"":61285.0,""annealing_temperature"":200.0},""time"":1.5084270482847052e+09}",
C67S3M3_GD2-69-3_th0.110_1957.1s_T199.999C_5.00s_61290_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":1957.1,""theta"":0.11,""sequence_ID"":61290.0,""annealing_temperature"":199.999},""time"":1.5084270482893944e+09}",
C67S3M3_GD2-69-3_th0.110_2018.2s_T200.000C_5.00s_61295_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":2018.2,""theta"":0.11,""sequence_ID"":61295.0,""annealing_temperature"":200.0},""time"":1.508427048294153e+09}",
C67S3M3_GD2-69-3_th0.110_2076.1s_T200.000C_5.00s_61300_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":2076.1,""theta"":0.11,""sequence_ID"":61300.0,""annealing_temperature"":200.0},""time"":1.5084270482991052e+09}",
C67S3M3_GD2-69-3_th0.110_2137.2s_T200.000C_5.00s_61305_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":2137.2,""theta"":0.11,""sequence_ID"":61305.0,""annealing_temperature"":200.0},""time"":1.508427048304502e+09}",
C67S3M3_GD2-69-3_th0.110_2204.1s_T200.000C_5.00s_61310_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":2204.1,""theta"":0.11,""sequence_ID"":61310.0,""annealing_temperature"":200.0},""time"":1.508427048309267e+09}",
C67S3M3_GD2-69-3_th0.110_2268.1s_T200.001C_5.00s_61315_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":2268.1,""theta"":0.11,""sequence_ID"":61315.0,""annealing_temperature"":200.001},""time"":1.508427048313955e+09}",
C67S3M3_GD2-69-3_th0.110_2330.2s_T200.000C_5.00s_61320_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":2330.2,""theta"":0.11,""sequence_ID"":61320.0,""annealing_temperature"":200.0},""time"":1.5084270483189628e+09}",
C67S3M3_GD2-69-3_th0.110_2398.2s_T200.000C_5.00s_61325_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":2398.2,""theta"":0.11,""sequence_ID"":61325.0,""annealing_temperature"":200.0},""time"":1.5084270483235888e+09}",
C67S3M3_GD2-69-3_th0.110_2465.2s_T200.002C_5.00s_61330_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":2465.2,""theta"":0.11,""sequence_ID"":61330.0,""annealing_temperature"":200.002},""time"":1.5084270483283243e+09}",
C67S3M3_GD2-69-3_th0.110_25.9s_T89.996C_5.00s_61115_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":25.9,""theta"":0.11,""sequence_ID"":61115.0,""annealing_temperature"":89.996},""time"":1.508427048333133e+09}",
C67S3M3_GD2-69-3_th0.110_2527.2s_T200.000C_5.00s_61335_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":2527.2,""theta"":0.11,""sequence_ID"":61335.0,""annealing_temperature"":200.0},""time"":1.5084270483376708e+09}",
C67S3M3_GD2-69-3_th0.110_2594.2s_T199.999C_5.00s_61340_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":2594.2,""theta"":0.11,""sequence_ID"":61340.0,""annealing_temperature"":199.999},""time"":1.508427048342442e+09}",
C67S3M3_GD2-69-3_th0.110_2659.1s_T199.998C_5.00s_61345_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":2659.1,""theta"":0.11,""sequence_ID"":61345.0,""annealing_temperature"":199.998},""time"":1.5084270483474784e+09}",
C67S3M3_GD2-69-3_th0.110_2725.2s_T200.000C_5.00s_61350_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":2725.2,""theta"":0.11,""sequence_ID"":61350.0,""annealing_temperature"":200.0},""time"":1.5084270483525617e+09}",
C67S3M3_GD2-69-3_th0.110_2791.2s_T199.999C_5.00s_61355_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":2791.2,""theta"":0.11,""sequence_ID"":61355.0,""annealing_temperature"":199.999},""time"":1.5084270483573606e+09}",
C67S3M3_GD2-69-3_th0.110_2852.2s_T199.999C_5.00s_61360_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":2852.2,""theta"":0.11,""sequence_ID"":61360.0,""annealing_temperature"":199.999},""time"":1.5084270483619385e+09}",
C67S3M3_GD2-69-3_th0.110_2907.2s_T199.998C_5.00s_61365_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":2907.2,""theta"":0.11,""sequence_ID"":61365.0,""annealing_temperature"":199.998},""time"":1.5084270483667715e+09}",
C67S3M3_GD2-69-3_th0.110_2965.2s_T199.999C_5.00s_61370_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":2965.2,""theta"":0.11,""sequence_ID"":61370.0,""annealing_temperature"":199.999},""time"":1.5084270483713696e+09}",
C67S3M3_GD2-69-3_th0.110_3028.2s_T199.998C_5.00s_61375_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":3028.2,""theta"":0.11,""sequence_ID"":61375.0,""annealing_temperature"":199.998},""time"":1.5084270483760934e+09}",
C67S3M3_GD2-69-3_th0.110_3087.3s_T199.997C_5.00s_61380_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":3087.3,""theta"":0.11,""sequence_ID"":61380.0,""annealing_temperature"":199.997},""time"":1.508427048380825e+09}",
C67S3M3_GD2-69-3_th0.110_3155.3s_T199.998C_5.00s_61385_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":3155.3,""theta"":0.11,""sequence_ID"":61385.0,""annealing_temperature"":199.998},""time"":1.5084270483853438e+09}",
C67S3M3_GD2-69-3_th0.110_3215.2s_T199.997C_5.00s_61390_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":3215.2,""theta"":0.11,""sequence_ID"":61390.0,""annealing_temperature"":199.997},""time"":1.5084270483899624e+09}",
C67S3M3_GD2-69-3_th0.110_3279.2s_T199.997C_5.00s_61395_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":3279.2,""theta"":0.11,""sequence_ID"":61395.0,""annealing_temperature"":199.997},""time"":1.5084270483947415e+09}",
C67S3M3_GD2-69-3_th0.110_3347.3s_T199.999C_5.00s_61400_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":3347.3,""theta"":0.11,""sequence_ID"":61400.0,""annealing_temperature"":199.999},""time"":1.5084270483994749e+09}",
C67S3M3_GD2-69-3_th0.110_3416.3s_T199.997C_5.00s_61405_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":3416.3,""theta"":0.11,""sequence_ID"":61405.0,""annealing_temperature"":199.997},""time"":1.5084270484041433e+09}",
C67S3M3_GD2-69-3_th0.110_3482.3s_T199.997C_5.00s_61410_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":3482.3,""theta"":0.11,""sequence_ID"":61410.0,""annealing_temperature"":199.997},""time"":1.5084270484086244e+09}",
C67S3M3_GD2-69-3_th0.110_3543.2s_T199.997C_5.00s_61415_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":3543.2,""theta"":0.11,""sequence_ID"":61415.0,""annealing_temperature"":199.997},""time"":1.5084270484133966e+09}",
C67S3M3_GD2-69-3_th0.110_3604.3s_T199.997C_5.00s_61420_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":3604.3,""theta"":0.11,""sequence_ID"":61420.0,""annealing_temperature"":199.997},""time"":1.5084270484180667e+09}",
C67S3M3_GD2-69-3_th0.110_3668.3s_T199.997C_5.00s_61425_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":3668.3,""theta"":0.11,""sequence_ID"":61425.0,""annealing_temperature"":199.997},""time"":1.50842704842257e+09}",
C67S3M3_GD2-69-3_th0.110_3732.3s_T199.995C_5.00s_61430_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":3732.3,""theta"":0.11,""sequence_ID"":61430.0,""annealing_temperature"":199.995},""time"":1.508427048427472e+09}",
C67S3M3_GD2-69-3_th0.110_3799.2s_T199.997C_5.00s_61435_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":3799.2,""theta"":0.11,""sequence_ID"":61435.0,""annealing_temperature"":199.997},""time"":1.5084270484319146e+09}",
C67S3M3_GD2-69-3_th0.110_3865.3s_T199.997C_5.00s_61440_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":3865.3,""theta"":0.11,""sequence_ID"":61440.0,""annealing_temperature"":199.997},""time"":1.5084270484367454e+09}",
C67S3M3_GD2-69-3_th0.110_3919.3s_T199.997C_5.00s_61445_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":3919.3,""theta"":0.11,""sequence_ID"":61445.0,""annealing_temperature"":199.997},""time"":1.5084270484414053e+09}",
C67S3M3_GD2-69-3_th0.110_3979.3s_T199.996C_5.00s_61450_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":3979.3,""theta"":0.11,""sequence_ID"":61450.0,""annealing_temperature"":199.996},""time"":1.5084270484459198e+09}",
C67S3M3_GD2-69-3_th0.110_4032.3s_T199.996C_5.00s_61455_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":4032.3,""theta"":0.11,""sequence_ID"":61455.0,""annealing_temperature"":199.996},""time"":1.5084270484505985e+09}",
C67S3M3_GD2-69-3_th0.110_4096.3s_T199.996C_5.00s_61460_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":4096.3,""theta"":0.11,""sequence_ID"":61460.0,""annealing_temperature"":199.996},""time"":1.5084270484552565e+09}",
C67S3M3_GD2-69-3_th0.110_4159.3s_T199.997C_5.00s_61465_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":4159.3,""theta"":0.11,""sequence_ID"":61465.0,""annealing_temperature"":199.997},""time"":1.5084270484600782e+09}",
C67S3M3_GD2-69-3_th0.110_4220.3s_T199.995C_5.00s_61470_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":4220.3,""theta"":0.11,""sequence_ID"":61470.0,""annealing_temperature"":199.995},""time"":1.5084270484646993e+09}",
C67S3M3_GD2-69-3_th0.110_4274.3s_T199.997C_5.00s_61475_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":4274.3,""theta"":0.11,""sequence_ID"":61475.0,""annealing_temperature"":199.997},""time"":1.5084270484692864e+09}",
C67S3M3_GD2-69-3_th0.110_4328.3s_T199.996C_5.00s_61480_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":4328.3,""theta"":0.11,""sequence_ID"":61480.0,""annealing_temperature"":199.996},""time"":1.508427048474094e+09}",
C67S3M3_GD2-69-3_th0.110_4387.4s_T199.997C_5.00s_61485_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":4387.4,""theta"":0.11,""sequence_ID"":61485.0,""annealing_temperature"":199.997},""time"":1.5084270484786596e+09}",
C67S3M3_GD2-69-3_th0.110_4448.3s_T199.996C_5.00s_61490_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":4448.3,""theta"":0.11,""sequence_ID"":61490.0,""annealing_temperature"":199.996},""time"":1.508427048483391e+09}",
C67S3M3_GD2-69-3_th0.110_4506.4s_T199.996C_5.00s_61495_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":4506.4,""theta"":0.11,""sequence_ID"":61495.0,""annealing_temperature"":199.996},""time"":1.5084270484880707e+09}",
C67S3M3_GD2-69-3_th0.110_4564.4s_T199.996C_5.00s_61500_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":4564.4,""theta"":0.11,""sequence_ID"":61500.0,""annealing_temperature"":199.996},""time"":1.508427048492592e+09}",
C67S3M3_GD2-69-3_th0.110_4620.4s_T199.996C_5.00s_61505_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":4620.4,""theta"":0.11,""sequence_ID"":61505.0,""annealing_temperature"":199.996},""time"":1.508427048497316e+09}",
C67S3M3_GD2-69-3_th0.110_4673.3s_T199.997C_5.00s_61510_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":4673.3,""theta"":0.11,""sequence_ID"":61510.0,""annealing_temperature"":199.997},""time"":1.5084270485021226e+09}",
C67S3M3_GD2-69-3_th0.110_4729.3s_T199.997C_5.00s_61515_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":4729.3,""theta"":0.11,""sequence_ID"":61515.0,""annealing_temperature"":199.997},""time"":1.5084270485067232e+09}",
C67S3M3_GD2-69-3_th0.110_4784.4s_T199.996C_5.00s_61520_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":4784.4,""theta"":0.11,""sequence_ID"":61520.0,""annealing_temperature"":199.996},""time"":1.5084270485114808e+09}",
C67S3M3_GD2-69-3_th0.110_4839.3s_T199.996C_5.00s_61525_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":4839.3,""theta"":0.11,""sequence_ID"":61525.0,""annealing_temperature"":199.996},""time"":1.5084270485161011e+09}",
C67S3M3_GD2-69-3_th0.110_4897.3s_T199.997C_5.00s_61530_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":4897.3,""theta"":0.11,""sequence_ID"":61530.0,""annealing_temperature"":199.997},""time"":1.5084270485210276e+09}",
C67S3M3_GD2-69-3_th0.110_4956.4s_T199.995C_5.00s_61535_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":4956.4,""theta"":0.11,""sequence_ID"":61535.0,""annealing_temperature"":199.995},""time"":1.5084270485256329e+09}",
C67S3M3_GD2-69-3_th0.110_5012.4s_T199.994C_5.00s_61540_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":5012.4,""theta"":0.11,""sequence_ID"":61540.0,""annealing_temperature"":199.994},""time"":1.5084270485301452e+09}",
C67S3M3_GD2-69-3_th0.110_5066.4s_T199.995C_5.00s_61545_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":5066.4,""theta"":0.11,""sequence_ID"":61545.0,""annealing_temperature"":199.995},""time"":1.5084270485348392e+09}",
C67S3M3_GD2-69-3_th0.110_83.9s_T102.040C_5.00s_61120_saxs,C67S3M3_GD2-69-3,"{""data"":{""annealing_time"":83.9,""theta"":0.11,""sequence_ID"":61120.0,""annealing_temperature"":102.04},""time"":1.5084270485394206e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_107.0s_T116.376C_5.00s_62520_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":107.0,""theta"":0.11,""sequence_ID"":62520.0,""annealing_temperature"":116.376},""time"":1.5084270485442097e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_1410.2s_T167.105C_5.00s_62545_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":1410.2,""theta"":0.11,""sequence_ID"":62545.0,""annealing_temperature"":167.105},""time"":1.508427048548785e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_1479.2s_T200.374C_5.00s_62550_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":1479.2,""theta"":0.11,""sequence_ID"":62550.0,""annealing_temperature"":200.374},""time"":1.5084270485532923e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_1543.2s_T201.362C_5.00s_62555_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":1543.2,""theta"":0.11,""sequence_ID"":62555.0,""annealing_temperature"":201.362},""time"":1.508427048558113e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_170.1s_T143.235C_5.00s_62525_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":170.1,""theta"":0.11,""sequence_ID"":62525.0,""annealing_temperature"":143.235},""time"":1.5084270485626464e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_1841.2s_T200.002C_5.00s_62635_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":1841.2,""theta"":0.11,""sequence_ID"":62635.0,""annealing_temperature"":200.002},""time"":1.508427048567317e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_1911.2s_T200.004C_5.00s_62640_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":1911.2,""theta"":0.11,""sequence_ID"":62640.0,""annealing_temperature"":200.004},""time"":1.5084270485718899e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_1984.2s_T200.002C_5.00s_62645_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":1984.2,""theta"":0.11,""sequence_ID"":62645.0,""annealing_temperature"":200.002},""time"":1.5084270485764039e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_2050.2s_T200.002C_5.00s_62650_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":2050.2,""theta"":0.11,""sequence_ID"":62650.0,""annealing_temperature"":200.002},""time"":1.5084270485810466e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_2118.3s_T200.003C_5.00s_62655_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":2118.3,""theta"":0.11,""sequence_ID"":62655.0,""annealing_temperature"":200.003},""time"":1.5084270485856864e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_2184.2s_T200.002C_5.00s_62660_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":2184.2,""theta"":0.11,""sequence_ID"":62660.0,""annealing_temperature"":200.002},""time"":1.508427048590157e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_2247.3s_T200.001C_5.00s_62665_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":2247.3,""theta"":0.11,""sequence_ID"":62665.0,""annealing_temperature"":200.001},""time"":1.5084270485947914e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_2320.2s_T200.002C_5.00s_62670_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":2320.2,""theta"":0.11,""sequence_ID"":62670.0,""annealing_temperature"":200.002},""time"":1.5084270485994992e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_2385.3s_T200.002C_5.00s_62675_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":2385.3,""theta"":0.11,""sequence_ID"":62675.0,""annealing_temperature"":200.002},""time"":1.508427048604211e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_2447.2s_T200.002C_5.00s_62680_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":2447.2,""theta"":0.11,""sequence_ID"":62680.0,""annealing_temperature"":200.002},""time"":1.508427048608745e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_2510.3s_T200.002C_5.00s_62685_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":2510.3,""theta"":0.11,""sequence_ID"":62685.0,""annealing_temperature"":200.002},""time"":1.5084270486132503e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_2574.2s_T200.002C_5.00s_62690_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":2574.2,""theta"":0.11,""sequence_ID"":62690.0,""annealing_temperature"":200.002},""time"":1.508427048618053e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_2632.3s_T200.002C_5.00s_62695_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":2632.3,""theta"":0.11,""sequence_ID"":62695.0,""annealing_temperature"":200.002},""time"":1.5084270486225953e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_2689.2s_T200.001C_5.00s_62700_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":2689.2,""theta"":0.11,""sequence_ID"":62700.0,""annealing_temperature"":200.001},""time"":1.5084270486272047e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_2746.2s_T200.001C_5.00s_62705_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":2746.2,""theta"":0.11,""sequence_ID"":62705.0,""annealing_temperature"":200.001},""time"":1.5084270486318095e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_2807.3s_T200.001C_5.00s_62710_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":2807.3,""theta"":0.11,""sequence_ID"":62710.0,""annealing_temperature"":200.001},""time"":1.5084270486363277e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_2867.3s_T200.002C_5.00s_62715_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":2867.3,""theta"":0.11,""sequence_ID"":62715.0,""annealing_temperature"":200.002},""time"":1.5084270486409616e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_2927.2s_T200.001C_5.00s_62720_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":2927.2,""theta"":0.11,""sequence_ID"":62720.0,""annealing_temperature"":200.001},""time"":1.5084270486455417e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_2989.3s_T200.001C_5.00s_62725_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":2989.3,""theta"":0.11,""sequence_ID"":62725.0,""annealing_temperature"":200.001},""time"":1.508427048650035e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_3051.3s_T200.002C_5.00s_62730_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":3051.3,""theta"":0.11,""sequence_ID"":62730.0,""annealing_temperature"":200.002},""time"":1.5084270486546686e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_3110.3s_T200.002C_5.00s_62735_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":3110.3,""theta"":0.11,""sequence_ID"":62735.0,""annealing_temperature"":200.002},""time"":1.508427048659281e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_3170.3s_T200.001C_5.00s_62740_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":3170.3,""theta"":0.11,""sequence_ID"":62740.0,""annealing_temperature"":200.001},""time"":1.5084270486639574e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_3226.4s_T200.002C_5.00s_62745_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":3226.4,""theta"":0.11,""sequence_ID"":62745.0,""annealing_temperature"":200.002},""time"":1.5084270486685228e+09}",
C67S3M3_GD2-70-5_Speed10_th0.110_3282.3s_T200.001C_5.00s_62750_saxs,C67S3M3_GD2-70-5_Speed10,"{""data"":{""annealing_time"":3282.3,""theta"":0.11,""sequence_ID"":62750.0,""annealing_temperature"":200.001},""time"":1.5084270486729934e+09}",
