item,sample,metadata_extract,linecut_qr
C67_GD2-69-6_th0.110_2697.2s_T200.005C_5.00s_61348_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":2697.2,""theta"":0.11,""sequence_ID"":61348.0,""annealing_temperature"":200.005},""time"":1.5084270521545758e+09}",
C67_GD2-69-6_th0.110_2766.2s_T200.006C_5.00s_61353_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":2766.2,""theta"":0.11,""sequence_ID"":61353.0,""annealing_temperature"":200.006},""time"":1.5084270521594353e+09}",
C67_GD2-69-6_th0.110_2827.2s_T200.005C_5.00s_61358_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":2827.2,""theta"":0.11,""sequence_ID"":61358.0,""annealing_temperature"":200.005},""time"":1.5084270521644914e+09}",
C67_GD2-69-6_th0.110_2885.2s_T200.005C_5.00s_61363_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":2885.2,""theta"":0.11,""sequence_ID"":61363.0,""annealing_temperature"":200.005},""time"":1.5084270521694758e+09}",
C67_GD2-69-6_th0.110_2937.2s_T200.006C_5.00s_61368_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":2937.2,""theta"":0.11,""sequence_ID"":61368.0,""annealing_temperature"":200.006},""time"":1.5084270521741977e+09}",
C67_GD2-69-6_th0.110_3001.2s_T200.006C_5.00s_61373_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":3001.2,""theta"":0.11,""sequence_ID"":61373.0,""annealing_temperature"":200.006},""time"":1.508427052178889e+09}",
C67_GD2-69-6_th0.110_3062.2s_T200.006C_5.00s_61378_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":3062.2,""theta"":0.11,""sequence_ID"":61378.0,""annealing_temperature"":200.006},""time"":1.5084270521838446e+09}",
C67_GD2-69-6_th0.110_3127.3s_T200.006C_5.00s_61383_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":3127.3,""theta"":0.11,""sequence_ID"":61383.0,""annealing_temperature"":200.006},""time"":1.5084270521884906e+09}",
C67_GD2-69-6_th0.110_3192.2s_T200.005C_5.00s_61388_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":3192.2,""theta"":0.11,""sequence_ID"":61388.0,""annealing_temperature"":200.005},""time"":1.5084270521932719e+09}",
C67_GD2-69-6_th0.110_3255.2s_T200.005C_5.00s_61393_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":3255.2,""theta"":0.11,""sequence_ID"":61393.0,""annealing_temperature"":200.005},""time"":1.5084270521978827e+09}",
C67_GD2-69-6_th0.110_3320.2s_T200.006C_5.00s_61398_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":3320.2,""theta"":0.11,""sequence_ID"":61398.0,""annealing_temperature"":200.006},""time"":1.508427052202407e+09}",
